,title,description,originallink,link,pubDate
12,"'우영우' 떠나 보내는 국민아빠 전배수, ""함께할 수 있어 행복했다""",ENA 수목드라마 ‘이상한 변호사 <b>우영우</b>’가 최종회 방송을 앞두고 있는 가운데 국민아빠로 활약한 배우... 영우와의 티키타카로 재미까지 더하며 ‘이상한 변호사 <b>우영우</b>’에서 없어서는 안 될 존재감을 보여줬다.... ,https://tenasia.hankyung.com/drama/article/2022081811024,https://n.news.naver.com/mnews/article/312/0000564535?sid=106,"Thu, 18 Aug 2022 10:14:00 +0900"
13,"'권모술수' 주종혁 ""미움 받아도 좋다…잘했다는 칭찬으로 받아들여""",18일 매거진 &apos;하퍼스 바자&apos;는 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;에서 &apos;권모술수&apos;란 별명을 가진 권민우 역할로... 이어진 인터뷰에서는 모든 역할이 사랑받는 &apos;이상한 변호사 <b>우영우</b>&apos; 안에서 홀로 악역을 맡은 심경에 대해... ,https://ent.sbs.co.kr/news/article.do?article_id=E10010256122&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/416/0000286615?sid=106,"Thu, 18 Aug 2022 10:14:00 +0900"
14,"'우영우'父 전배수 ""좋은 작품 함께해 너무 행복했다"" 종영소감","ENA채널 &apos;이상한 변호사 <b>우영우</b>&apos;가 최종회 방송을 앞두고 있는 가운데 &apos;국민아빠&apos;로 활약한 배우 전배수가... 뿐만 아니라, 영우와의 티키타카로 재미까지 더하며 &apos;이상한 변호사 <b>우영우</b>&apos;에서 없어서는 안될 존재감을... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=543457,https://n.news.naver.com/mnews/article/477/0000376847?sid=106,"Thu, 18 Aug 2022 10:12:00 +0900"
15,함태인 '우영우' 마지막회 캐스팅..'박은빈♥︎강태오' 예측불가 서사 갖고 온...,배우 함태인이 ‘이상한 변호사 <b>우영우</b>’ 마지막회에서 남다른 존재감을 발휘한다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 오후 9시 방송되는 ENA ‘이상한 변호사 <b>우영우</b>’ 16회에 출연한다.... ,http://www.osen.co.kr/article/G1111921520,https://n.news.naver.com/mnews/article/109/0004680477?sid=106,"Thu, 18 Aug 2022 10:10:00 +0900"
16,[김영화 원장의 멘탈육아] '변호사 우영우'가 가진 자폐 스펙트럼,김영화 강동소아정신과의원 원장 &quot;저는 자폐 스펙트럼 장애를 가지고 있습니다.&quot; 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;에서 주인공이 자신을 소개하는 말이다. 이 드라마가 최근 큰 인기를 끌면서 많은 이들이 <b>우영우</b>가 하는... ,http://www.babytimes.co.kr/news/articleView.html?idxno=59771,http://www.babytimes.co.kr/news/articleView.html?idxno=59771,"Thu, 18 Aug 2022 10:08:00 +0900"
17,"영우 아빠 전배수 ""좋은 작품 함께해 너무 행복했다"" 종영 소감",‘이상한 변호사 <b>우영우</b>’의 영우 아빠 전배수가 종영을 맞은 소감을 전했다. 전배수는 전도유망한... 깊이 감사 드린다”고 전했다. ‘이상한 변호사 <b>우영우</b>’ 최종회는 18일 밤 9시 ENA에서 방송된다. 박설이 기자 /사진=ENA,https://www.tvreport.co.kr/2112761,https://n.news.naver.com/mnews/article/213/0001225969?sid=106,"Thu, 18 Aug 2022 10:08:00 +0900"
18,"'우영우' 아빠 전배수 종영 소감…""뜨거운 사랑에 깊이 감사""","ENA채널 ‘이상한 변호사 <b>우영우</b>’(연출 유인식, 극본 문지원, 제작 에이스토리 KT스튜디오지니 낭만크루)가... 뿐만 아니라, 영우와의 티키타카로 재미까지 더하며 ‘이상한 변호사 <b>우영우</b>’에서 없어서는 안될 존재감을... ",http://starin.edaily.co.kr/news/newspath.asp?newsid=01167686632428632,https://n.news.naver.com/mnews/article/018/0005294942?sid=106,"Thu, 18 Aug 2022 10:07:00 +0900"
19,우영우에 나온 '방구뽕' 현실판?…초등생 꾀어 종교시설 데려가,변호사 <b>우영우</b>&apos;에서 어린이 해방을 외치던 &apos;방구뽕&apos; 과 유사한 사례가 부산에서 발생했다. 인기몰이 중인 드라마 &apos;이상한 변호사 <b>우영우</b>&apos; 9회를 보면 배우 구교환이 연기한 방구뽕은 학원에 내몰린 아이를 해방해주겠다며... ,https://www.yna.co.kr/view/AKR20220817137000051?input=1195m,https://n.news.naver.com/mnews/article/001/0013382311?sid=102,"Thu, 18 Aug 2022 10:05:00 +0900"
20,"함태인, '우영우' 마지막회 출연…박은빈♥강태오 사이 존재감 예고","배우 함태인이 &apos;이상한 변호사 <b>우영우</b>&apos; 마지막회에 힘을 보탠다. 소속사 제이플로엔터테인먼트는 함태인이 18일 방송되는 ENA채널 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(극본 문지원, 연출 유인식) 마지막회에 출연한다고... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=543456,https://n.news.naver.com/mnews/article/477/0000376843?sid=106,"Thu, 18 Aug 2022 10:05:00 +0900"
21,"""위암 개그→급 러브라인""…마지막회 앞둔 '우영우', 시청자 반응은 '시끌'","종영을 앞둔 &apos;이상한 변호사 <b>우영우</b>&apos;를 두고 시청자들의 반응이 분분하다. 지난 17일 방영된 &apos;<b>우영우</b>&apos; 15회에서는 위암 3기 진단을 받은 <b>우영우</b>의 선배 변호사 정명석(강기영 분)이 수술을 받으러 자리를 비우고, 장승준... ",http://www.topstarnews.net/news/articleView.html?idxno=14722354,http://www.topstarnews.net/news/articleView.html?idxno=14722354,"Thu, 18 Aug 2022 10:02:00 +0900"
22,'이상한 변호사 우영우' 시즌 2 제작되나?,2024년 방송 목표 오늘 종영되는 ‘이상한 변호사 <b>우영우</b>’가 시즌 2로 돌아올 가능성이 높아졌다. 천재적인 두뇌와 자폐 스펙트럼을 동시에 가진 신입 변호사 <b>우영우</b>의 대형 로펌 생존기를 그린 ‘이상한 변호사... ,https://www.wkorea.com/2022/08/18/%ec%9d%b4%ec%83%81%ed%95%9c-%eb%b3%80%ed%98%b8%ec%82%ac-%ec%9a%b0%ec%98%81%ec%9a%b0-%ec%8b%9c%ec%a6%8c-2-%ec%a0%9c%ec%9e%91%eb%90%98%eb%82%98/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2022/08/18/%ec%9d%b4%ec%83%81%ed%95%9c-%eb%b3%80%ed%98%b8%ec%82%ac-%ec%9a%b0%ec%98%81%ec%9a%b0-%ec%8b%9c%ec%a6%8c-2-%ec%a0%9c%ec%9e%91%eb%90%98%eb%82%98/?utm_source=naver&utm_medium=partnership,"Thu, 18 Aug 2022 10:02:00 +0900"
23,"'우영우' 막방 이벤트, 고래 선물 쏜다",▲사진=ENA 인스타그램 제공 18일 &apos;이상한 변호사 <b>우영우</b>&apos; 마지막회가 방송된다. 이에 ENA채널이 시청자들에게 감사의 인사를 담아 이벤트를 준비했다. &apos;<b>우영우</b>&apos; 종영 이벤트 당첨자들에게는 각종 경품들이 전달될... ,https://www.thedrive.co.kr/news/newsview.php?ncode=1065574272394685,https://www.thedrive.co.kr/news/newsview.php?ncode=1065574272394685,"Thu, 18 Aug 2022 10:02:00 +0900"
